Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Communalities,Uniqueness
ENVRTX21,0.5326209724313463,0.1501506932639375,-0.004066210684387753,0.13404175567149262,-0.15100164449925466,0.19909485395501542,-0.021660706731090065,0.38712350102311843,0.6128764989768816
ENVRTX37,0.14043496728427843,0.6022819102473148,0.06009204834609708,0.08448089041087714,0.034120554386214086,0.05915480669896208,-0.05775942577960453,0.401213209219939,0.598786790780061
ENVRTX02,0.586811504813779,0.23481668999615923,0.20225018783168688,0.16590151180444648,0.013888834810979423,-0.17336753896141824,-0.005486330116270094,0.49819437329560784,0.5018056267043922
ENVRTX22,0.6019276234544281,0.14000741371780168,0.2309689637027622,0.09511308813985245,-0.15337197620459658,0.1347913766611843,-0.06732658082333724,0.4905366482953526,0.5094633517046474
ENVRTX39,0.598789312054809,0.2553282886476469,0.14401586893592522,0.14633142114528014,0.003949799762799028,0.07579976403637954,-0.05253618312073442,0.4744158862176068,0.5255841137823932
ENVRTX23,0.6513305389094762,-0.0726975091227212,0.05398485492177333,0.1613473069224248,0.08495190545627186,-0.15027181262098668,0.19539753600322804,0.526442357745982,0.473557642254018
ENVRTX18,0.5283569205982708,0.41753025755233647,0.04769080640400628,0.14701578024726808,0.1905707860246298,0.036301963210375106,-0.021973334777537722,0.5154984886332036,0.4845015113667964
ENVRTX13,0.46220623313113346,0.28808286195413324,-0.04574785945507166,0.12741952862322894,0.1905135198259708,-0.0659096886483727,0.09389109957369457,0.36440996708960616,0.6355900329103938
ENVRTX33,0.25929027334770083,0.624422473593674,0.16301029986719506,0.02279163337627057,-0.03161352299059406,0.08590370517862382,0.022776060802170442,0.4931242981412761,0.5068757018587239
ENVRTX03,0.6045325647507629,0.12440367029792168,0.15768400983897524,0.24526583649388176,0.09106599320562017,-0.002557995268438575,0.037669953966389384,0.4756740564278202,0.5243259435721799
ENVRTX20,0.5967212755444822,0.3403523186420677,0.13177235188373929,0.060903794246179935,-0.022962794118692002,0.08552166232749948,0.07299563172862432,0.5061588132594756,0.49384118674052435
ENVRTX38,0.604544350009187,0.3641941256633998,0.1478455106088425,-0.001248566667110199,0.06770709002888009,0.013819228891098106,0.14676481577914435,0.5462862184996801,0.45371378150031993
ENVRTX08,0.7512115902722583,-0.04202245808951447,0.06311395628607523,0.04532470960542178,0.005528612712582212,-0.025865436045158657,0.14109603616041783,0.5927301188826706,0.4072698811173294
ENVRTX05,0.7530839050582528,-0.018903293980312354,0.11925181259392871,0.08585808082207541,0.038515179396993116,-0.1896463522800685,0.15978491282153792,0.6520656837729861,0.3479343162270139
ENVRTX30,0.46599266743146756,0.48158427606746396,0.1062548277563199,0.08709331694921699,0.13622273521303868,0.04442223098619626,-0.05477359566508957,0.49147803031085496,0.508521969689145
ENVRTX24,0.6625570291740479,0.22345213678810624,0.30909165601050137,0.0692250933736787,-0.023336639262022743,0.07489417961327995,0.1344318121688952,0.6134680887060245,0.38653191129397546
ENVRTX32,0.31418527608916197,0.68385381605619,0.19765419892468925,0.03110415306668899,-0.0447165126847033,0.14227420230605656,-0.07295482586267686,0.6339670019015522,0.3660329980984478
ENVRTX34,0.3193111238559455,0.5464094893183093,0.10729747540867428,0.028249723077795885,0.07630406639226535,-0.004382982149384626,0.09985631010063369,0.42864652266572084,0.5713534773342792
ENVRTX04,0.5383027444375186,0.09145366829816128,0.20000476540488915,0.019880237949804286,0.03965519438342998,0.05599194251008139,0.16881065400774228,0.37173541713392166,0.6282645828660783
ENVRTX29,0.5482224324923928,0.5739588944022541,0.14803017137384947,0.11480005299069349,0.16311464899425657,0.04039351431374719,0.034420113750823704,0.6944914007007255,0.30550859929927454
ENVRTX41,0.4978588458439602,0.4898655055738883,0.20440238884943318,-0.011824536661926689,0.24348179315107604,0.16344389107562465,-0.025271689739742857,0.6163877475991713,0.38361225240082875
ENVRTX40,0.4612311871588452,0.5413316462520222,0.23139244622491018,-0.013935350602724642,0.06972668347980163,0.20972832861662458,0.03890215089635439,0.609871976966029,0.390128023033971
ENVRTX09,0.5646774371985277,0.3538709420987913,0.18299361897089048,0.15894202968133386,0.10167834222102524,0.040914974782000624,-0.036543903623928946,0.5161824624565715,0.4838175375434285
ENVRTX17,0.2932733995118752,0.49565739080137117,0.3086239194960592,0.11347956386345352,-0.11409060193110258,0.12683405486916344,0.14817180866618018,0.4908702988239872,0.5091297011760127
ENVRTX07,0.4497761943689298,0.3051660849112689,0.27844174183162945,0.07627514435969568,-0.0010248490602357526,0.08779148447288798,0.04914206362682776,0.3888960031214461,0.6111039968785539
ENVRTX11,0.4675920487480688,0.4310574624441594,0.17595814668365511,0.10329880529202824,0.1433423187372849,0.20458681866470882,-0.06809136334329884,0.5131239930145982,0.4868760069854018
ENVRTX10,0.437822912129594,0.4652619713988307,0.1771244871736893,0.1601807955856907,0.23048475914030309,0.17370108931149614,-0.07436751796694661,0.5540143959990999,0.44598560400090015
ENVRTX01,0.4712416695616311,0.1251485196650778,0.25788572744077354,0.09989206667019158,-0.0575865205013807,0.15916346061658562,0.1854457916125393,0.3772536926725975,0.6227463073274024
ENVRTX14,0.6917427643642039,0.19564687940360895,0.03399277434527354,0.05876727896719158,0.21870961474573025,-0.04848879239786082,0.07070536524187367,0.5765791624999125,0.4234208375000875
ENVRTX15,0.639567793247232,0.24526757491757772,0.005950298611663193,0.07020302297993775,0.16528480537294812,-0.1594558846042172,0.13890658821467297,0.5462073022257008,0.4537926977742992
ENVRTX12,0.27235373962621384,0.044004042128795766,0.12784894822452036,0.1092152711122033,0.019301845815911167,0.023986679552216793,0.7781630004891926,0.7108718215964697,0.28912817840353033
ENVRTX31,0.2921186939079722,0.5073247162410448,0.18707229659119906,0.17910888596951363,-0.10409092406715105,-0.06426307342037095,0.3687519851089467,0.5607304258250762,0.43926957417492385
ENVRTX35,0.1718877093650493,0.6708109589410616,0.06263525385598731,0.20094367560148274,0.02396006468871782,-0.20928909556036188,0.22986156859946852,0.6210466139953982,0.3789533860046018
ENVRTX36,0.09529514921106866,0.6873803295729561,0.22243255369648907,0.19247390727099603,0.08419826513243185,-0.08052894931826013,0.12707981206872002,0.5978188670361265,0.4021811329638735
ENVRTX06,0.5047564204256326,0.024942790461934324,0.26416120653853864,-0.01233801384414174,0.07948094405398047,-0.00897226903467263,0.32035737733165776,0.4343611276726014,0.5656388723273986
EPRACX01,0.2322468389023067,0.12445994694731921,0.08406394132101801,0.053934460573656605,0.010492812201006979,0.2300738292081904,0.8055701642895089,0.78139190042987,0.21860809957013005
EPRACX02,0.49501936549780456,0.07539983332325367,0.20192736541517503,-0.00373293069574416,0.0627447701532295,0.09985287676868611,0.595276605853367,0.6597796434149851,0.3402203565850149
EPRACX03,0.6173830755840692,0.10932087715156152,0.31099199746664125,0.0486828104841333,-0.09401270652711863,0.1642331124820938,0.17189898616744081,0.557559120393261,0.44244087960673895
EPRACX04,0.5823091275882109,0.3070786304435765,0.24571103953052872,0.05542477910818666,-0.027670863422508015,0.35134022460170994,0.06154185710994905,0.6248200567162786,0.3751799432837214
EPRACX05,0.5284021190347029,0.2780162721561302,0.20713934589768535,0.17437056969844242,-0.11894143942903232,0.36777228721924105,0.08346248556043463,0.586183158935684,0.41381684106431604
